,Province_State,Date,Confirmed_Cases
299,Diamond Princess,2020-01-27,0
300,District of Columbia,2020-01-27,0
301,Florida,2020-01-27,0
302,Georgia,2020-01-27,0
303,Grand Princess,2020-01-27,0
304,Guam,2020-01-27,0
305,Hawaii,2020-01-27,0
306,Idaho,2020-01-27,0
307,Illinois,2020-01-27,1
308,Indiana,2020-01-27,0
309,Iowa,2020-01-27,0
310,Kansas,2020-01-27,0
311,Kentucky,2020-01-27,0
312,Louisiana,2020-01-27,0
313,Maine,2020-01-27,0
314,Maryland,2020-01-27,0
315,Massachusetts,2020-01-27,0
316,Michigan,2020-01-27,0
317,Minnesota,2020-01-27,0
318,Mississippi,2020-01-27,0
319,Missouri,2020-01-27,0
320,Montana,2020-01-27,0
321,Nebraska,2020-01-27,0
322,Nevada,2020-01-27,0
323,New Hampshire,2020-01-27,0
324,New Jersey,2020-01-27,0
325,New Mexico,2020-01-27,0
326,New York,2020-01-27,0
327,North Carolina,2020-01-27,0
328,North Dakota,2020-01-27,0
329,Northern Mariana Islands,2020-01-27,0
330,Ohio,2020-01-27,0
331,Oklahoma,2020-01-27,0
332,Oregon,2020-01-27,0
333,Pennsylvania,2020-01-27,0
334,Puerto Rico,2020-01-27,0
335,Rhode Island,2020-01-27,0
336,South Carolina,2020-01-27,0
337,South Dakota,2020-01-27,0
338,Tennessee,2020-01-27,0
339,Texas,2020-01-27,0
340,Utah,2020-01-27,0
341,Vermont,2020-01-27,0
342,Virgin Islands,2020-01-27,0
343,Virginia,2020-01-27,0
344,Washington,2020-01-27,1
345,West Virginia,2020-01-27,0
346,Wisconsin,2020-01-27,0
347,Wyoming,2020-01-27,0
348,Alabama,2020-01-28,0
349,Alaska,2020-01-28,0
350,American Samoa,2020-01-28,0
351,Arizona,2020-01-28,1
352,Arkansas,2020-01-28,0
353,California,2020-01-28,2
354,Colorado,2020-01-28,0
355,Connecticut,2020-01-28,0
356,Delaware,2020-01-28,0
357,Diamond Princess,2020-01-28,0
358,District of Columbia,2020-01-28,0
359,Florida,2020-01-28,0
360,Georgia,2020-01-28,0
361,Grand Princess,2020-01-28,0
362,Guam,2020-01-28,0
363,Hawaii,2020-01-28,0
364,Idaho,2020-01-28,0
365,Illinois,2020-01-28,1
366,Indiana,2020-01-28,0
367,Iowa,2020-01-28,0
368,Kansas,2020-01-28,0
369,Kentucky,2020-01-28,0
370,Louisiana,2020-01-28,0
371,Maine,2020-01-28,0
372,Maryland,2020-01-28,0
373,Massachusetts,2020-01-28,0
374,Michigan,2020-01-28,0
375,Minnesota,2020-01-28,0
376,Mississippi,2020-01-28,0
377,Missouri,2020-01-28,0
378,Montana,2020-01-28,0
379,Nebraska,2020-01-28,0
380,Nevada,2020-01-28,0
381,New Hampshire,2020-01-28,0
382,New Jersey,2020-01-28,0
383,New Mexico,2020-01-28,0
384,New York,2020-01-28,0
385,North Carolina,2020-01-28,0
386,North Dakota,2020-01-28,0
387,Northern Mariana Islands,2020-01-28,0
388,Ohio,2020-01-28,0
389,Oklahoma,2020-01-28,0
390,Oregon,2020-01-28,0
391,Pennsylvania,2020-01-28,0
392,Puerto Rico,2020-01-28,0
393,Rhode Island,2020-01-28,0
394,South Carolina,2020-01-28,0
395,South Dakota,2020-01-28,0
396,Tennessee,2020-01-28,0
397,Texas,2020-01-28,0
398,Utah,2020-01-28,0
399,Vermont,2020-01-28,0
400,Virgin Islands,2020-01-28,0
401,Virginia,2020-01-28,0
402,Washington,2020-01-28,1
403,West Virginia,2020-01-28,0
404,Wisconsin,2020-01-28,0
405,Wyoming,2020-01-28,0
406,Alabama,2020-01-29,0
407,Alaska,2020-01-29,0
408,American Samoa,2020-01-29,0
409,Arizona,2020-01-29,1
410,Arkansas,2020-01-29,0
411,California,2020-01-29,2
412,Colorado,2020-01-29,0
413,Connecticut,2020-01-29,0
414,Delaware,2020-01-29,0
415,Diamond Princess,2020-01-29,0
416,District of Columbia,2020-01-29,0
417,Florida,2020-01-29,0
418,Georgia,2020-01-29,0
419,Grand Princess,2020-01-29,0
420,Guam,2020-01-29,0
421,Hawaii,2020-01-29,0
422,Idaho,2020-01-29,0
423,Illinois,2020-01-29,1
424,Indiana,2020-01-29,0
425,Iowa,2020-01-29,0
426,Kansas,2020-01-29,0
427,Kentucky,2020-01-29,0
428,Louisiana,2020-01-29,0
429,Maine,2020-01-29,0
430,Maryland,2020-01-29,0
431,Massachusetts,2020-01-29,0
432,Michigan,2020-01-29,0
433,Minnesota,2020-01-29,0
434,Mississippi,2020-01-29,0
435,Missouri,2020-01-29,0
436,Montana,2020-01-29,0
437,Nebraska,2020-01-29,0
438,Nevada,2020-01-29,0
439,New Hampshire,2020-01-29,0
440,New Jersey,2020-01-29,0
441,New Mexico,2020-01-29,0
442,New York,2020-01-29,0
443,North Carolina,2020-01-29,0
444,North Dakota,2020-01-29,0
445,Northern Mariana Islands,2020-01-29,0
446,Ohio,2020-01-29,0
447,Oklahoma,2020-01-29,0
448,Oregon,2020-01-29,0
449,Pennsylvania,2020-01-29,0
450,Puerto Rico,2020-01-29,0
451,Rhode Island,2020-01-29,0
452,South Carolina,2020-01-29,0
453,South Dakota,2020-01-29,0
454,Tennessee,2020-01-29,0
455,Texas,2020-01-29,0
456,Utah,2020-01-29,0
457,Vermont,2020-01-29,0
458,Virgin Islands,2020-01-29,0
459,Virginia,2020-01-29,0
460,Washington,2020-01-29,1
461,West Virginia,2020-01-29,0
462,Wisconsin,2020-01-29,0
463,Wyoming,2020-01-29,0
464,Alabama,2020-01-30,0
465,Alaska,2020-01-30,0
466,American Samoa,2020-01-30,0
467,Arizona,2020-01-30,1
468,Arkansas,2020-01-30,0
469,California,2020-01-30,2
470,Colorado,2020-01-30,0
471,Connecticut,2020-01-30,0
472,Delaware,2020-01-30,0
473,Diamond Princess,2020-01-30,0
474,District of Columbia,2020-01-30,0
475,Florida,2020-01-30,0
476,Georgia,2020-01-30,0
477,Grand Princess,2020-01-30,0
478,Guam,2020-01-30,0
479,Hawaii,2020-01-30,0
480,Idaho,2020-01-30,0
481,Illinois,2020-01-30,1
482,Indiana,2020-01-30,0
483,Iowa,2020-01-30,0
484,Kansas,2020-01-30,0
485,Kentucky,2020-01-30,0
486,Louisiana,2020-01-30,0
487,Maine,2020-01-30,0
488,Maryland,2020-01-30,0
489,Massachusetts,2020-01-30,0
490,Michigan,2020-01-30,0
491,Minnesota,2020-01-30,0
492,Mississippi,2020-01-30,0
493,Missouri,2020-01-30,0
494,Montana,2020-01-30,0
495,Nebraska,2020-01-30,0
496,Nevada,2020-01-30,0
497,New Hampshire,2020-01-30,0
498,New Jersey,2020-01-30,0
499,New Mexico,2020-01-30,0
500,New York,2020-01-30,0
501,North Carolina,2020-01-30,0
502,North Dakota,2020-01-30,0
503,Northern Mariana Islands,2020-01-30,0
504,Ohio,2020-01-30,0
505,Oklahoma,2020-01-30,0
506,Oregon,2020-01-30,0
507,Pennsylvania,2020-01-30,0
508,Puerto Rico,2020-01-30,0
509,Rhode Island,2020-01-30,0
510,South Carolina,2020-01-30,0
511,South Dakota,2020-01-30,0
512,Tennessee,2020-01-30,0
513,Texas,2020-01-30,0
514,Utah,2020-01-30,0
515,Vermont,2020-01-30,0
516,Virgin Islands,2020-01-30,0
517,Virginia,2020-01-30,0
518,Washington,2020-01-30,1
519,West Virginia,2020-01-30,0
520,Wisconsin,2020-01-30,0
521,Wyoming,2020-01-30,0
522,Alabama,2020-01-31,0
523,Alaska,2020-01-31,0
524,American Samoa,2020-01-31,0
525,Arizona,2020-01-31,1
526,Arkansas,2020-01-31,0
527,California,2020-01-31,3
528,Colorado,2020-01-31,0
529,Connecticut,2020-01-31,0
530,Delaware,2020-01-31,0
531,Diamond Princess,2020-01-31,0
532,District of Columbia,2020-01-31,0
533,Florida,2020-01-31,0
534,Georgia,2020-01-31,0
535,Grand Princess,2020-01-31,0
536,Guam,2020-01-31,0
537,Hawaii,2020-01-31,0
538,Idaho,2020-01-31,0
539,Illinois,2020-01-31,2
540,Indiana,2020-01-31,0
541,Iowa,2020-01-31,0
542,Kansas,2020-01-31,0
543,Kentucky,2020-01-31,0
544,Louisiana,2020-01-31,0
545,Maine,2020-01-31,0
546,Maryland,2020-01-31,0
547,Massachusetts,2020-01-31,0
548,Michigan,2020-01-31,0
549,Minnesota,2020-01-31,0
550,Mississippi,2020-01-31,0
551,Missouri,2020-01-31,0
552,Montana,2020-01-31,0
553,Nebraska,2020-01-31,0
554,Nevada,2020-01-31,0
555,New Hampshire,2020-01-31,0
556,New Jersey,2020-01-31,0
557,New Mexico,2020-01-31,0
558,New York,2020-01-31,0
559,North Carolina,2020-01-31,0
560,North Dakota,2020-01-31,0
561,Northern Mariana Islands,2020-01-31,0
562,Ohio,2020-01-31,0
563,Oklahoma,2020-01-31,0
564,Oregon,2020-01-31,0
565,Pennsylvania,2020-01-31,0
566,Puerto Rico,2020-01-31,0
567,Rhode Island,2020-01-31,0
568,South Carolina,2020-01-31,0
569,South Dakota,2020-01-31,0
570,Tennessee,2020-01-31,0
571,Texas,2020-01-31,0
572,Utah,2020-01-31,0
573,Vermont,2020-01-31,0
574,Virgin Islands,2020-01-31,0
575,Virginia,2020-01-31,0
576,Washington,2020-01-31,1
577,West Virginia,2020-01-31,0
578,Wisconsin,2020-01-31,0
579,Wyoming,2020-01-31,0
580,Alabama,2020-02-01,0
581,Alaska,2020-02-01,0
582,American Samoa,2020-02-01,0
583,Arizona,2020-02-01,1
584,Arkansas,2020-02-01,0
585,California,2020-02-01,3
586,Colorado,2020-02-01,0
587,Connecticut,2020-02-01,0
588,Delaware,2020-02-01,0
589,Diamond Princess,2020-02-01,0
590,District of Columbia,2020-02-01,0
591,Florida,2020-02-01,0
592,Georgia,2020-02-01,0
593,Grand Princess,2020-02-01,0
594,Guam,2020-02-01,0
595,Hawaii,2020-02-01,0
596,Idaho,2020-02-01,0
597,Illinois,2020-02-01,2
598,Indiana,2020-02-01,0
599,Iowa,2020-02-01,0
600,Kansas,2020-02-01,0
601,Kentucky,2020-02-01,0
602,Louisiana,2020-02-01,0
603,Maine,2020-02-01,0
604,Maryland,2020-02-01,0
605,Massachusetts,2020-02-01,1
606,Michigan,2020-02-01,0
607,Minnesota,2020-02-01,0
608,Mississippi,2020-02-01,0
609,Missouri,2020-02-01,0
610,Montana,2020-02-01,0
611,Nebraska,2020-02-01,0
612,Nevada,2020-02-01,0
613,New Hampshire,2020-02-01,0
614,New Jersey,2020-02-01,0
615,New Mexico,2020-02-01,0
616,New York,2020-02-01,0
617,North Carolina,2020-02-01,0
618,North Dakota,2020-02-01,0
619,Northern Mariana Islands,2020-02-01,0
620,Ohio,2020-02-01,0
621,Oklahoma,2020-02-01,0
622,Oregon,2020-02-01,0
623,Pennsylvania,2020-02-01,0
